edition,num_countries,airports,area_sq_km,birth_rate,broadband_subscriptions,budget_surplus_deficit,central_bank_discount_rate,child_underweight,co2_emissions,commercial_bank_prime_rate,crude_oil_exports,crude_oil_imports,crude_oil_production,crude_oil_reserves,current_account_balance,death_rate,education_expenditure,electricity_capacity,electricity_consumption,electricity_exports,electricity_fossil_pct,electricity_hydro_pct,electricity_imports,electricity_nuclear_pct,electricity_production,electricity_renewable_pct,exports,external_debt,fertility_rate,foreign_reserves,gdp_growth_rate,gdp_per_capita_ppp,gdp_ppp,gini_index,gross_national_saving,health_expenditures,hiv_deaths,hiv_living,hiv_prevalence,imports,industrial_production_growth,infant_mortality,inflation_rate,internet_users,internet_hosts,labor_force,life_expectancy,market_value_traded_shares,maternal_mortality,median_age,merchant_marine,military_expenditure_pct,natural_gas_consumption,natural_gas_exports,natural_gas_imports,natural_gas_production,natural_gas_reserves,net_migration_rate,obesity_rate,pop_growth_rate,population,public_debt_pct_gdp,railways_km,refined_petroleum_consumption,refined_petroleum_exports,refined_petroleum_imports,refined_petroleum_production,roadways_km,stock_broad_money,stock_domestic_credit,stock_fdi_abroad,stock_fdi_at_home,stock_narrow_money,taxes_revenue_pct_gdp,telephones_fixed,telephones_mobile,unemployment_rate,waterways_km,youth_unemployment
overlap,,UNIQUE,UNIQUE,OWID/WHO,UNIQUE,UNIQUE,UNIQUE,WHO,OWID,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,IMF,OWID/WHO,UN SDG,UNIQUE,OWID,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,OWID,UNIQUE,IMF,IMF,OWID/WHO,UNIQUE,IMF/OWID,IMF/OWID,IMF,UNIQUE,UNIQUE,WHO,WHO,WHO,WHO,IMF,UNIQUE,WHO,IMF,UNIQUE,UNIQUE,UNIQUE,WHO/OWID,UNIQUE,WHO,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,WHO,OWID,OWID,IMF,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE,UNIQUE
2020,241,232,241,228,203,222,,131,213,,217,217,217,214,206,228,170,214,218,218,214,214,218,214,219,213,224,207,227,195,224,227,,,184,,60,145,134,224,202,227,228,229,,231,227,,184,227,182,158,215,215,215,216,209,227,192,236,236,210,136,214,216,214,216,224,,,,,,221,225,219,219,107,181
2019,258,238,258,226,197,222,163,126,214,193,218,218,220,215,206,226,175,215,219,219,215,215,219,215,220,214,224,207,224,195,224,228,229,158,184,,66,142,135,224,202,224,226,226,,232,223,124,184,228,177,158,216,216,216,217,210,228,192,234,238,210,136,215,217,215,217,215,197,192,121,139,194,221,221,216,218,107,181
2018,258,238,258,226,197,222,163,126,214,193,218,218,217,215,206,226,179,215,219,219,215,215,219,215,220,214,224,207,224,195,224,228,229,158,184,192,65,133,120,224,202,224,226,227,,232,223,124,184,228,176,155,216,216,216,217,210,221,192,234,238,210,136,215,217,215,217,223,197,192,121,139,194,221,221,216,218,107,174
2017,254,236,254,226,,221,160,138,214,186,216,216,217,217,200,226,173,215,220,219,215,215,220,215,221,213,224,207,224,175,224,230,229,150,181,192,63,119,109,223,202,225,227,217,232,233,224,123,184,229,156,132,216,215,215,217,212,222,192,235,237,206,136,215,217,215,217,223,195,192,113,132,193,220,219,217,217,107,134
2016,257,236,257,226,,220,157,138,213,184,214,214,214,215,197,226,173,214,219,218,214,214,219,214,220,212,224,206,224,170,225,229,230,145,180,191,129,127,133,223,202,225,226,217,232,233,224,122,184,229,156,132,215,215,214,216,212,222,191,235,238,179,136,212,214,213,214,223,193,191,105,120,192,219,219,217,208,107,134
2015,257,236,257,224,,215,,138,213,183,210,210,211,212,193,225,173,213,,217,211,211,218,211,219,210,223,205,224,169,222,230,230,141,179,191,119,122,123,223,198,224,225,217,232,233,224,120,184,,156,132,213,212,212,213,212,222,191,233,238,164,136,211,211,212,212,223,192,190,100,111,190,214,219,217,204,107,134
2014,252,236,252,224,,216,143,136,211,176,210,210,211,211,193,225,173,212,219,216,210,210,217,210,219,209,223,204,224,169,221,228,229,141,155,190,158,165,170,222,194,224,223,217,232,233,223,110,184,228,156,132,213,212,212,213,211,222,191,233,240,161,134,211,211,212,212,222,193,189,93,109,189,215,220,217,203,108,147
2013,252,236,252,224,,215,143,132,211,181,210,210,211,208,193,226,173,210,218,215,209,209,215,209,218,209,222,205,224,168,220,229,229,136,144,190,153,163,166,223,179,224,224,217,232,233,223,118,184,228,156,173,213,211,212,213,210,222,191,233,240,155,134,210,210,212,211,222,191,190,98,105,190,214,220,217,202,108,142
2012,252,237,252,229,,213,144,120,,181,,,,,193,231,163,,218,215,,,215,,218,,223,205,224,165,217,228,229,136,,189,153,163,166,223,166,223,224,217,233,232,222,117,183,225,156,172,,,,,,221,70,231,239,152,134,,,,,222,191,190,91,101,190,213,219,216,201,108,130
2011,250,236,250,221,,208,144,120,,187,,,,,197,223,163,,,,,,,,,,222,202,222,173,215,227,227,140,,189,153,163,169,222,167,222,222,216,231,229,221,118,172,224,163,172,,,,,,220,70,230,238,133,134,,,,,221,190,188,85,91,190,210,229,219,199,108,130
2010,250,236,250,223,,,140,,,155,,,,,190,225,186,,,,,,,,,,223,198,224,133,214,229,228,134,,,156,165,170,222,166,223,224,216,232,229,223,112,,225,163,174,,,,,,221,,232,238,131,133,,,,,221,187,185,80,87,188,,231,221,200,109,
2009,249,235,249,223,,,135,,,142,208,208,209,209,190,222,182,,214,213,,,214,,213,,223,205,223,155,217,229,228,134,150,,156,165,170,218,168,224,222,216,232,221,224,110,,226,162,173,209,207,206,209,207,180,,233,237,126,132,206,,,209,219,,129,81,96,120,,231,222,200,108,
2008,258,237,258,224,,,118,,,162,207,207,212,201,188,223,182,,214,,,,,,,213,,227,203,223,155,218,229,229,,,152,163,168,226,181,222,224,222,231,224,223,115,,,162,173,210,208,207,211,207,173,,232,240,126,136,210,,,,222,,175,80,88,173,,233,224,199,109,
2007,264,239,264,223,,,,,,81,72,209,209,163,222,,,213,,,,,,,212,,226,203,222,153,215,228,228,,147,,147,163,168,226,166,221,223,222,230,222,222,113,,,163,172,207,110,110,208,100,,,237,,120,135,,,,218,,,73,78,,,232,224,197,109,
2006,273,244,273,227,,,,,,71,64,213,100,163,226,,,216,,,,,,,215,,228,209,226,153,215,232,232,,147,,148,164,168,229,165,225,223,226,233,226,226,,,,,166,167,213,107,106,213,99,,,239,,120,137,213,,,222,,,,,,,235,229,201,110,
2005,270,243,270,226,,,,,,58,46,213,98,149,226,,,217,,,,,,,214,,226,202,226,148,214,232,232,,146,,148,164,168,226,166,226,223,217,191,215,226,,,,164,166,109,109,109,108,98,,,239,,108,136,213,,,231,,,,,,,234,229,196,110,
2004,270,,270,226,,,,,,35,31,213,98,149,226,,,214,,,,,,,213,,226,200,226,147,215,232,232,,145,,148,164,168,226,165,226,222,214,191,211,226,,,,,166,109,109,109,109,98,,,239,,109,135,213,,,229,,,,,,,234,229,192,,
2003,267,,267,225,,,,,,28,28,212,97,,225,,,214,,,,,,,213,,225,198,225,,213,231,237,,,,143,155,168,225,164,225,219,203,,205,225,,,,,166,,,,,,97,,,237,,,148,212,,,228,,,,,,,230,208,189,,
2002,268,254,268,236,,,,,,,,,,,236,,,234,,,,,,,231,,236,234,236,,236,236,236,,,,237,237,236,236,235,236,236,236,,235,236,,,,,197,,,,,,,,,263,,,237,,,240,,,,,,,239,237,235,,
2001,267,253,267,232,,,,,,,,,,,232,,,,,,,,,,,,,235,232,232,,235,235,235,,,,235,235,235,235,235,,235,232,,,235,,,,,196,,,,,,,234,,262,,,,,,,,,,,,,,,232,,233,,
2000,262,253,262,235,,,,,,,,,,,235,,,235,235,235,,,235,,235,,235,,235,,,235,235,235,,,,235,,196,,,,,,,235,,262,,,,,,,,,,,,,,,235,,235,,
